filepath,mean_r,mean_g,mean_b,std_r,std_g,std_b,mode_r,mode_g,mode_b,chromatic_x
data/tomato/unripe/u (670).jpg,0.6266326257958436,0.6730381058399694,0.4137832022039454,0.1073356410752808,0.09727133136040757,0.1780681291937774,0.596078431372549,0.6588235294117647,0.34509803921568627,0.5178523849194286
data/tomato/unripe/u (711).jpg,0.644503747930032,0.6418578743385944,0.4619141791451084,0.17391774564720436,0.17167370158955833,0.209068968223331,0.7215686274509804,0.7215686274509804,0.47058823529411764,0.4989711790650566
data/tomato/unripe/u (866).jpg,0.3977261971472343,0.4561146668073868,0.13554766517654096,0.039838858539120905,0.04070387905087782,0.055802026732823015,0.40784313725490196,0.47058823529411764,0.09411764705882353,0.5341910323942933
data/tomato/unripe/u (1233).jpg,0.47433775680377666,0.5625268980675272,0.3758711874685369,0.05608049043536812,0.06266828199419774,0.04573987310195842,0.5333333333333333,0.596078431372549,0.40784313725490196,0.5425263103515067
data/tomato/unripe/u (1313).jpg,0.3627755036398771,0.27297210139555844,0.0827627048085243,0.06309868114393588,0.05167385624214666,0.05358768216857805,0.34509803921568627,0.2823529411764706,0.03137254901960784,0.4293711370083831
data/tomato/unripe/u (1087).jpg,0.48015485915840983,0.4816463250685382,0.35665032470333596,0.14021363448574814,0.12982107640994556,0.11761075445190197,0.40784313725490196,0.40784313725490196,0.2823529411764706,0.500774829759472
data/tomato/unripe/u (853).jpg,0.39413615845757327,0.45816767306691997,0.12441184427976838,0.044848828682659596,0.04713901483673979,0.06323589247402721,0.40784313725490196,0.47058823529411764,0.09411764705882353,0.5375631536048066
data/tomato/unripe/u (390).jpg,0.37389440461562046,0.42315683845412233,0.10232012323063276,0.0616918070428407,0.0595401302074078,0.0757688371995579,0.40784313725490196,0.40784313725490196,0.09411764705882353,0.5309022615937808
data/tomato/unripe/u (675).jpg,0.6207733074006226,0.6512189462909774,0.4696934897672171,0.1064153151132624,0.0986126830321539,0.1551296941493126,0.596078431372549,0.6588235294117647,0.40784313725490196,0.5119672957391864
data/tomato/unripe/u (1071).jpg,0.6584050545332405,0.6696824331851584,0.528291866962514,0.09844158813016576,0.08602403327427642,0.1005712271878415,0.7215686274509804,0.7215686274509804,0.596078431372549,0.5042453416154861
data/tomato/unripe/u (994).jpg,0.47742388338991454,0.465006504118158,0.3397330840576651,0.08360469180130979,0.08908897808469472,0.09113607287688129,0.40784313725490196,0.40784313725490196,0.2823529411764706,0.4934115207555891
data/tomato/unripe/u (1349).jpg,0.15722844992582877,0.2078620674635782,0.06421796878860904,0.030692864765650685,0.029552040926620775,0.026139743358615422,0.1568627450980392,0.2196078431372549,0.09411764705882353,0.5693423636624029
data/tomato/unripe/u (1364).jpg,0.29381526629191557,0.32182259379038897,0.1209519717152528,0.08257084417775887,0.08670581799822608,0.08265796861330041,0.2823529411764706,0.2823529411764706,0.09411764705882353,0.5227457437423048
data/tomato/unripe/u (1180).jpg,0.5798147017361347,0.6491630921239443,0.49103855647945027,0.1078210558698209,0.10405878025452993,0.11405248212399127,0.6588235294117647,0.7215686274509804,0.596078431372549,0.528213420253574
data/tomato/unripe/u (1243).jpg,0.6218922000001675,0.6343045535528065,0.49440176771293765,0.09216487014995717,0.0872211661701637,0.0997483938154499,0.7215686274509804,0.7215686274509804,0.596078431372549,0.504940047662693
data/tomato/unripe/u (50).jpg,0.6631427999453872,0.637149613145271,0.540790830407946,0.11421641454151561,0.12893065628509937,0.19572359880817916,0.6588235294117647,0.6588235294117647,0.6588235294117647,0.4900044918560609
data/tomato/unripe/u (771).jpg,0.6898796256509353,0.7566082761867189,0.4803476792485545,0.17997762791173877,0.13787345082818311,0.29439230753235796,0.9098039215686274,0.9098039215686274,0.9098039215686274,0.5230653862781149
data/tomato/unripe/u (721).jpg,0.7300155210958748,0.733473550896714,0.439994002641853,0.12198888375013078,0.1142667949791828,0.14057786665637892,0.7843137254901961,0.7843137254901961,0.40784313725490196,0.5011810909643317
data/tomato/unripe/u (341).jpg,0.5641657850717715,0.5286887312488325,0.20366475438054243,0.15564680044707954,0.18578687758165657,0.16008312213065984,0.40784313725490196,0.2823529411764706,0.03137254901960784,0.4837681865108823
data/tomato/unripe/u (701).jpg,0.2877808853474321,0.32881839480206626,0.08552634775128386,0.04657781867597215,0.04819718746729886,0.0639862061634441,0.2823529411764706,0.34509803921568627,0.03137254901960784,0.5332764278380514
data/tomato/unripe/u (395).jpg,0.2660474980713803,0.30502312249604013,0.14954965368607182,0.22792539938938858,0.21213438350180866,0.2666913511031455,0.1568627450980392,0.2196078431372549,0.03137254901960784,0.5341241124764127
data/tomato/unripe/u (888).jpg,0.4243316840598429,0.4803362876185546,0.13156377763203192,0.05869961134502811,0.06495825618832854,0.07199432504007229,0.40784313725490196,0.47058823529411764,0.09411764705882353,0.5309525391673434
data/tomato/unripe/u (1286).jpg,0.5337615246021515,0.5856659789807674,0.44440809174282725,0.1298098389864481,0.12436878631430619,0.12533323699309643,0.5333333333333333,0.47058823529411764,0.47058823529411764,0.5231830144634027
data/tomato/unripe/u (683).jpg,0.7838113211024083,0.7797368030898121,0.6288317129577279,0.16346646523036648,0.16323534212038165,0.22494683637044322,0.9725490196078431,0.9725490196078431,0.9725490196078431,0.4986967093167918
data/tomato/unripe/u (832).jpg,0.54865457311123,0.6496854318642319,0.34673860145963636,0.16531787943846624,0.1351021086411446,0.2381478686196881,0.47058823529411764,0.596078431372549,0.2196078431372549,0.5421540522829188
data/tomato/unripe/u (452).jpg,0.45056459766186796,0.47498473437818034,0.12926199827617835,0.05776039663323301,0.0639645166512164,0.08641173171700413,0.47058823529411764,0.47058823529411764,0.09411764705882353,0.5131916849203052
data/tomato/unripe/u (199).jpg,0.4974481911180466,0.5418792336448441,0.37936406225525793,0.2902932354546816,0.2660055924666671,0.34449201655118444,0.9725490196078431,0.9725490196078431,0.09411764705882353,0.5213743997894283
data/tomato/unripe/u (1002).jpg,0.33131316177203507,0.37910875572408465,0.10948880897995492,0.13276271034368048,0.12575428621506193,0.19004002991856106,0.2823529411764706,0.34509803921568627,0.03137254901960784,0.5336381279199869
data/tomato/unripe/u (1248).jpg,0.2493552421182066,0.33475427165184496,0.10036696125756894,0.11846574996012188,0.11366045392454735,0.09853748011579433,0.1568627450980392,0.2196078431372549,0.03137254901960784,0.5731009179944817
data/tomato/unripe/u (1019).jpg,0.4398045330311201,0.44391959184459806,0.22059355418018375,0.14174975838655143,0.14071550257004214,0.1911783115508626,0.40784313725490196,0.40784313725490196,0.1568627450980392,0.5023276801222871
data/tomato/unripe/u (359).jpg,0.6765881063006602,0.6992668313427297,0.38602967352090994,0.2530189228873704,0.22926695793055576,0.28271677242233384,0.9725490196078431,0.9725490196078431,0.09411764705882353,0.5082413152502407
data/tomato/unripe/u (565).jpg,0.39051596545320677,0.4485861395692456,0.1382789759929774,0.05373271207143503,0.05761682496810104,0.07447879520996793,0.40784313725490196,0.47058823529411764,0.09411764705882353,0.5346019301850188
data/tomato/unripe/u (767).jpg,0.685377753989374,0.7536936941464611,0.467900313186063,0.17631671164761356,0.1380594804613528,0.29017403623214494,0.9098039215686274,0.9098039215686274,0.9098039215686274,0.5237357543206327
data/tomato/unripe/u (1301).jpg,0.51261698408271,0.5683726470211307,0.5480322215605026,0.11751938256694071,0.1116041493921692,0.07345474047088753,0.596078431372549,0.6588235294117647,0.5333333333333333,0.5257886892513989
data/tomato/unripe/u (176).jpg,0.6723770562520365,0.6980088938475985,0.5531375145641152,0.20483960059607725,0.19942855856173422,0.2204847635000494,0.8470588235294118,0.8470588235294118,0.5333333333333333,0.5093516789523203
data/tomato/unripe/u (423).jpg,0.8931796803475117,0.8957535186315972,0.7632898022295765,0.14143583359042392,0.13780622307488843,0.1855179523483396,0.9725490196078431,0.9725490196078431,0.9725490196078431,0.5007190980768197
data/tomato/unripe/u (64).jpg,0.6174233305608117,0.6005417725208756,0.5640662758332433,0.1122776914465322,0.12619150003183502,0.1818310959279329,0.6588235294117647,0.6588235294117647,0.6588235294117647,0.49306936457540984
data/tomato/unripe/u (1148).jpg,0.23154308842166454,0.3256297435459296,0.13293228094775011,0.07387304330046583,0.07558681861644738,0.06488153861123479,0.2196078431372549,0.40784313725490196,0.09411764705882353,0.5844311503216263
data/tomato/unripe/u (1073).jpg,0.529154447887062,0.595918948552551,0.4050974193769951,0.10335445067663353,0.0962559147630166,0.11989920560327756,0.47058823529411764,0.5333333333333333,0.2823529411764706,0.529670704833728
data/tomato/unripe/u (1115).jpg,0.52221443235759,0.6084113785631301,0.4306319255456465,0.15192811815726676,0.14750275370613636,0.15278463982934895,0.596078431372549,0.6588235294117647,0.34509803921568627,0.5381186547908531
data/tomato/unripe/u (1102).jpg,0.533228630851717,0.608386752539454,0.4352016444152953,0.12123801330496808,0.12209390206195922,0.11085241106995307,0.596078431372549,0.6588235294117647,0.34509803921568627,0.5329169775334175
data/tomato/unripe/u (781).jpg,0.65520383897931,0.6492884000539427,0.3068992234426344,0.1266097623136533,0.12214976057593623,0.16981101319188527,0.7215686274509804,0.7215686274509804,0.2823529411764706,0.4977322845575835
data/tomato/unripe/u (525).jpg,0.4987525327530303,0.5344768519565544,0.344460610507606,0.08169068256082371,0.07719663244206453,0.12796437965404817,0.5333333333333333,0.5333333333333333,0.2823529411764706,0.5172871993178778
data/tomato/unripe/u (961).jpg,0.7521894964145682,0.7193697078130667,0.5394987180228151,0.09882229816591544,0.09793337363269548,0.12086144953059354,0.7843137254901961,0.7215686274509804,0.5333333333333333,0.48884830246590977
data/tomato/unripe/u (1231).jpg,0.6412822619756604,0.684837321660263,0.5114141619739014,0.09991335902571764,0.08941940722890684,0.10613792868205878,0.6588235294117647,0.7843137254901961,0.5333333333333333,0.5164216060824527
data/tomato/unripe/u (915).jpg,0.21787581280536478,0.2755015458274386,0.04430020630576978,0.07494758755345189,0.07501434372041223,0.08858815008190579,0.2196078431372549,0.2823529411764706,0.03137254901960784,0.558398115780511
data/tomato/unripe/u (219).jpg,0.46687221857857586,0.39793861754193754,0.18702627362192686,0.0696321917835245,0.08196701835559404,0.09789418341492562,0.47058823529411764,0.40784313725490196,0.1568627450980392,0.46014474007093026
data/tomato/unripe/u (1).jpg,0.8569752374442878,0.8945406450845536,0.746892555988605,0.19858566264196492,0.14926489172819152,0.3467052491652495,0.9725490196078431,0.9725490196078431,0.9725490196078431,0.510723392967252
data/tomato/unripe/u (287).jpg,0.8293811915812503,0.8842952140914463,0.5819997168844897,0.18288320421525694,0.15922729387695608,0.1675835675015912,0.9725490196078431,0.9725490196078431,0.5333333333333333,0.516021983579996
data/tomato/unripe/u (828).jpg,0.6077523392628442,0.7793012407662882,0.2847818712259991,0.18248572889148304,0.12573360391537217,0.31023411670589096,0.5333333333333333,0.7843137254901961,0.03137254901960784,0.5618389153438508
data/tomato/unripe/u (948).jpg,0.4862523966398042,0.4696075499703064,0.33053199749719187,0.12085692957186273,0.12827133604190685,0.13073986156778014,0.34509803921568627,0.34509803921568627,0.2196078431372549,0.49129274674913176
data/tomato/unripe/u (485).jpg,0.570696372017131,0.5217738443149484,0.3315981200460021,0.08310442118929402,0.09058737375768812,0.11270948187525447,0.596078431372549,0.5333333333333333,0.34509803921568627,0.4776087795400043
data/tomato/unripe/u (568).jpg,0.33137146011379903,0.39554754790976154,0.09489428818646088,0.0752654171016666,0.07174976441899368,0.13490971738474986,0.34509803921568627,0.40784313725490196,0.03137254901960784,0.5441417811365858
data/tomato/unripe/u (1210).jpg,0.5233381831522818,0.5847003708143089,0.43772589560408726,0.13605587357503446,0.13487682060255776,0.13779944154763835,0.6588235294117647,0.40784313725490196,0.34509803921568627,0.5276890781752172
data/tomato/unripe/u (503).jpg,0.7371753280747559,0.7782073092383607,0.3834419307472658,0.15272694015526928,0.15018881703301673,0.24953852189423914,0.7215686274509804,0.9725490196078431,0.1568627450980392,0.513538149730967
data/tomato/unripe/u (1212).jpg,0.4993500907561111,0.5762404102997087,0.4296440366911,0.11961465117988793,0.10971124574931777,0.12393599045833989,0.47058823529411764,0.5333333333333333,0.34509803921568627,0.5357428073149155
data/tomato/unripe/u (997).jpg,0.45346225978109644,0.5091993275587821,0.2019704169420342,0.20610067996245232,0.18653836952480263,0.31208093176111346,0.34509803921568627,0.40784313725490196,0.03137254901960784,0.5289489113375128
data/tomato/unripe/u (1354).jpg,0.20052887317514045,0.3177036819255875,0.10582070412000077,0.038258080691443846,0.041196942270552456,0.03214700443892228,0.2196078431372549,0.34509803921568627,0.09411764705882353,0.6130511596529794
data/tomato/unripe/u (804).jpg,0.6035350908273087,0.7569044585667152,0.32107811726510416,0.20808761740718143,0.15763231850743845,0.32809448829544735,0.47058823529411764,0.7215686274509804,0.03137254901960784,0.5563671701081392
data/tomato/unripe/u (1101).jpg,0.556163332520842,0.6232643888432386,0.46920867539634076,0.09769673923758117,0.09786100953927593,0.105377102043149,0.6588235294117647,0.7215686274509804,0.5333333333333333,0.5284459989429422
data/tomato/unripe/u (1325).jpg,0.19498751527609207,0.2702491667776513,0.07884046608519096,0.030745998018306426,0.028982504276718814,0.030608607300371127,0.2196078431372549,0.2823529411764706,0.09411764705882353,0.5808840882893761
data/tomato/unripe/u (266).jpg,0.6312723696851973,0.5989802815910421,0.3611877114466616,0.20234721035295672,0.2230111725354412,0.2447994234678189,0.47058823529411764,0.40784313725490196,0.1568627450980392,0.48687543497202596
data/tomato/unripe/u (16).jpg,0.6223986249632494,0.6099442228939933,0.65619273297768,0.1376448192895508,0.14257882489239482,0.2255737367132541,0.7215686274509804,0.7215686274509804,0.8470588235294118,0.4949464582912825
